CNES,CODUFMUN,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,TPGESTAO,PF_PJ,CPF_CNPJ,NIV_DEP,CNPJ_MAN,ESFERA_A,ATIVIDAD,RETENCAO,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,TP_LEITO,CODLEITO,QT_EXIST,QT_CONTR,QT_SUS,QT_NSUS,COMPETEN,NAT_JUR
"0609773","520055","12�","","","","M","3","00000000000000","3","33331604000170","","04","","","01","05","06","","","2","33",20,0,20,0,"202103","1244"
"2342073","520060","","","","","M","3","00000000000000","3","01740455000106","","04","","","03","05","06","","","5","45",3,0,3,0,"202103","1244"
"2342073","520060","","","","","M","3","00000000000000","3","01740455000106","","04","","","03","05","06","","","2","33",12,0,12,0,"202103","1244"
"2342073","520060","","","","","M","3","00000000000000","3","01740455000106","","04","","","03","05","06","","","4","43",2,0,2,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","4","43",5,0,5,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","2","33",13,0,13,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","5","45",6,0,6,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","1","06",2,0,2,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","4","10",2,0,2,0,"202103","1244"
"2534916","520080","02","","","","M","3","00000000000000","3","02367597000132","","04","","","03","05","06","","","1","03",4,0,4,0,"202103","1244"
"2336758","520085","","","","","M","3","00000000000000","3","00007344000122","","04","","","03","05","06","","","2","33",8,0,8,0,"202103","1244"
"2336758","520085","","","","","M","3","00000000000000","3","00007344000122","","04","","","03","05","06","","","4","10",3,0,3,0,"202103","1244"
"2336758","520085","","","","","M","3","00000000000000","3","00007344000122","","04","","","03","05","06","","","1","03",3,0,3,0,"202103","1244"
"2336758","520085","","","","","M","3","00000000000000","3","00007344000122","","04","","","03","05","06","","","5","45",2,0,2,0,"202103","1244"
"2336758","520085","","","","","M","3","00000000000000","3","00007344000122","","04","","","03","05","06","","","4","43",1,0,1,0,"202103","1244"
"2381974","520090","10","","","","M","3","00000000000000","3","01067073000163","","04","","","01","05","06","","","1","03",2,0,2,0,"202103","1244"
"2381974","520090","10","","","","M","3","00000000000000","3","01067073000163","","04","","","01","05","06","","","4","10",2,0,2,0,"202103","1244"
"2381974","520090","10","","","","M","3","00000000000000","3","01067073000163","","04","","","01","05","06","","","2","33",8,0,8,0,"202103","1244"
"2381974","520090","10","","","","M","3","00000000000000","3","01067073000163","","04","","","01","05","06","","","4","43",1,0,1,0,"202103","1244"
"0103276","520110","","","","","M","3","00000000000000","3","01067479000146","","04","","","02","05","06","","","2","33",46,0,46,0,"202103","1244"
"0103276","520110","","","","","M","3","00000000000000","3","01067479000146","","04","","","02","05","06","","","3","96",24,0,0,24,"202103","1244"
"0616036","520110","","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","2","33",5,0,5,0,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","3","95",7,0,7,0,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","2","33",33,0,33,0,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","1","03",5,0,5,0,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","1","13",2,0,2,0,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","3","96",11,0,0,11,"202103","1244"
"2361744","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","05","06","","","3","66",2,0,2,0,"202103","1244"
"2361779","520110","3","","","","M","3","01029180000105","1","00000000000000","","04","","","03","07","06","","","6","47",200,0,100,100,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","3","78",10,0,10,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","3","75",20,0,16,4,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","6","34",25,0,0,25,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","3","66",2,0,2,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","44",6,0,6,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","42",3,0,1,2,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","38",6,0,6,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","32",8,0,6,2,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","12",5,0,5,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","4","10",25,0,22,3,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","08",3,0,2,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","05",3,0,1,2,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","3","81",10,0,10,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","5","45",27,0,24,3,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","4","43",7,0,7,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","40",4,0,4,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","03",7,0,5,2,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","06",5,0,4,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","09",2,0,1,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","13",6,0,5,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","15",1,0,0,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","1","14",3,0,1,2,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","31",2,0,2,0,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","33",8,0,7,1,"202103","3999"
"2361787","520110","3","","","","M","3","01038751000160","1","00000000000000","","04","","","03","05","06","","","2","36",2,0,2,0,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","1","14",3,0,2,1,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","5","45",1,0,1,0,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","1","06",5,0,3,2,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","2","33",3,0,1,2,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","4","10",20,0,15,5,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","4","43",6,0,5,1,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","1","03",4,0,4,0,"202103","3999"
"2441675","520110","3","","","","M","3","01049618000109","1","00000000000000","","04","","","03","05","06","","","3","92",3,0,0,3,"202103","3999"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","1","11",1,0,1,0,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","1","03",4,0,3,1,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","1","06",4,0,3,1,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","4","10",2,0,1,1,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","2","33",12,0,10,2,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","1","05",1,0,1,0,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","5","45",12,0,10,2,"202103","2135"
"2442094","520110","3","","","","M","3","01016591000158","1","00000000000000","","04","","","03","05","04","","","2","32",2,0,1,1,"202103","2135"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","3","78",8,0,6,2,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","4","10",8,0,0,8,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","2","33",24,0,0,24,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","4","43",2,0,0,2,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","1","02",15,0,6,9,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","1","09",20,0,9,11,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","2","32",37,0,10,27,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","2","42",16,0,1,15,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","5","45",14,0,0,14,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","3","75",34,0,15,19,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","1","12",10,0,10,0,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","2","44",21,0,15,6,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","1","03",20,0,6,14,"202103","3069"
"2442108","520110","3","","","","M","3","36975290000136","1","00000000000000","","04","","","03","05","06","","","2","40",5,0,5,0,"202103","3069"
"2442272","520110","3","","","","M","3","01552309000157","1","00000000000000","","04","","","03","62","06","","","1","11",3,0,2,1,"202103","2062"
"2507641","520110","3","","","","M","3","02505238000102","1","00000000000000","","04","","","03","62","03","","","7","73",80,0,75,5,"202103","2062"
"2535262","520110","3","","","","M","3","33322546000118","1","00000000000000","","04","","","03","05","06","","","1","15",3,0,0,3,"202103","2062"
"2535262","520110","3","","","","M","3","33322546000118","1","00000000000000","","04","","","03","05","06","","","3","75",1,0,0,1,"202103","2062"
"2535262","520110","3","","","","M","3","33322546000118","1","00000000000000","","04","","","03","05","06","","","3","83",3,0,0,3,"202103","2062"
"2535262","520110","3","","","","M","3","33322546000118","1","00000000000000","","04","","","03","05","06","","","2","33",1,0,0,1,"202103","2062"
"2535262","520110","3","","","","M","3","33322546000118","1","00000000000000","","04","","","03","05","06","","","1","03",26,0,0,26,"202103","2062"
"2535416","520110","3","","","","M","3","37374105000110","1","00000000000000","","04","","","02","36","03","","","2","33",3,0,0,3,"202103","2062"
"2569809","520110","3","","","","M","3","00467444000131","1","00000000000000","","04","","","03","62","03","","","7","07",1,0,1,0,"202103","2062"
"2569809","520110","3","","","","M","3","00467444000131","1","00000000000000","","04","","","03","62","03","","","1","11",5,0,4,1,"202103","2062"
"3508196","520110","3","","","","M","3","03629878000189","1","00000000000000","","04","","","03","36","03","","","7","07",2,0,0,2,"202103","2062"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","3","51",21,0,15,6,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","1","13",40,0,40,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","1","09",3,0,3,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","1","03",14,0,14,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","1","01",4,0,4,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","3","78",6,0,6,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","2","33",18,0,18,0,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","3","75",30,0,18,12,"202103","1023"
"3771962","520110","3","","","","E","3","00000000000000","3","02529964000157","","04","","","02","20","06","","","1","02",2,0,2,0,"202103","1023"
"5580501","520110","3","","","","M","3","00969518000138","1","00000000000000","","04","","","03","36","03","","","1","11",1,0,0,1,"202103","2062"
"6630537","520110","3","","","","M","3","11528147000175","1","00000000000000","","04","","","03","62","03","","","1","15",2,0,1,1,"202103","2232"
"6630537","520110","3","","","","M","3","11528147000175","1","00000000000000","","04","","","03","62","03","","","1","01",2,0,1,1,"202103","2232"
"6630537","520110","3","","","","M","3","11528147000175","1","00000000000000","","04","","","03","62","03","","","1","13",2,0,1,1,"202103","2232"
"6630537","520110","3","","","","M","3","11528147000175","1","00000000000000","","04","","","03","62","03","","","1","03",2,0,1,1,"202103","2232"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","5","45",2,0,0,2,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","2","33",4,0,0,4,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","1","14",1,0,0,1,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","1","13",2,0,0,2,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","4","10",4,0,0,4,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","1","06",1,0,0,1,"202103","1015"
"7299125","520110","3","","","","M","3","00394429008004","1","00000000000000","","04","","","01","05","04","","","1","03",4,0,0,4,"202103","1015"
"7529368","520110","3","","","","M","3","00000000000000","3","01067479000146","","04","","","03","20","06","","","3","96",14,0,0,14,"202103","1244"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","2","33",97,0,0,97,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","1","03",13,0,0,13,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","2","46",14,0,0,14,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","5","45",7,0,0,7,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","2","38",3,0,0,3,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","4","43",7,0,0,7,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","3","74",10,0,0,10,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","3","75",10,0,0,10,"202103","2062"
"9160124","520110","","","","","M","3","18034143000180","1","00000000000000","","04","","","01","05","06","","","4","10",6,0,0,6,"202103","2062"
"9858741","520110","","","","","M","3","00000000000000","3","01067479000146","","04","","","03","21","06","","","3","52",3,0,0,3,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","4","43",1,0,1,0,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","4","10",2,0,2,0,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","2","33",7,0,7,0,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","3","66",1,0,1,0,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","1","03",6,0,6,0,"202103","1244"
"2443139","520130","1","","","","M","3","00000000000000","3","02262368000153","","04","","","01","05","06","","","5","45",4,0,4,0,"202103","1244"
"2358697","520140","001","","","","M","3","37393055000119","1","00000000000000","","04","","","03","15","03","","","2","44",10,0,10,0,"202103","2054"
"2358697","520140","001","","","","M","3","37393055000119","1","00000000000000","","04","","","03","15","03","","","2","38",10,0,10,0,"202103","2054"
"2589516","520140","001","","","","M","3","00000000000000","3","37942539000170","","04","","","03","07","06","","","2","33",2,0,2,0,"202103","1031"
"2589516","520140","001","","","","M","3","00000000000000","3","37942539000170","","04","","","03","07","06","","","1","06",4,0,4,0,"202103","1031"
"2589516","520140","001","","","","M","3","00000000000000","3","37942539000170","","04","","","03","07","06","","","5","45",1,0,1,0,"202103","1031"
"2589516","520140","001","","","","M","3","00000000000000","3","37942539000170","","04","","","03","07","06","","","4","10",12,0,12,0,"202103","1031"
"2589516","520140","001","","","","M","3","00000000000000","3","37942539000170","","04","","","03","07","06","","","4","43",4,0,4,0,"202103","1031"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","3","74",10,0,0,10,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","1","03",4,0,3,1,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","2","33",32,0,30,2,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","2","32",2,0,2,0,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","1","02",4,0,4,0,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","1","09",20,0,16,4,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","3","75",8,0,6,2,"202103","2062"
"2589532","520140","001","","","","M","3","01569060000192","1","00000000000000","","04","","","03","05","06","","","6","47",80,0,64,16,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","1","01",2,0,1,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","4","10",11,0,9,2,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","2","32",3,0,2,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","5","45",5,0,4,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","1","06",2,0,1,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","3","75",20,0,20,0,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","2","42",7,0,6,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","5","68",3,0,2,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","2","33",3,0,2,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","1","09",30,0,24,6,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","1","03",6,0,5,1,"202103","2062"
"2589605","520140","001","","","","M","3","03420437000172","1","00000000000000","","04","","","03","05","06","","","1","13",6,0,5,1,"202103","2062"
"2589672","520140","001","","","","M","3","01250414000131","1","00000000000000","","03","","","03","07","06","","","6","47",200,0,160,40,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","3","81",16,0,8,8,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","3","66",2,0,1,1,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","3","78",8,0,8,0,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","5","45",13,0,11,2,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","3","51",53,0,23,30,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","4","10",20,0,18,2,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","1","03",12,0,10,2,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","5","68",4,0,3,1,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","1","14",3,0,2,1,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","1","06",6,0,4,2,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","2","33",60,0,40,20,"202103","2062"
"2589737","520140","001","","","","M","3","24786576000194","1","00000000000000","","04","","","03","05","06","","","4","43",5,0,3,2,"202103","2062"
